Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6969,2020-10-03 03:19:17Z,SO4_12_11,47,212.4104,445.7762,2333.877,12809.34,5275.973,14307.94,921.4089,3074.288,3032.939,569.7279,7675.553,98.2569,7659.292,78.58833,10082.82,82.38637,15783.08,78.16132,2807.904,54.83614,1263.401,398.8241,1183.215,198.9045,249.1097,621.9384,284.4757,929.121,1140.76,924.138,685.0919,885.4702,191.4539,307.3683,181.9836,218.9642
6970,2020-10-03 03:19:29Z,SO4_12_11,47,212.4104,446.7287,2335.771,12838.69,5280.911,14323.74,922.3839,3074.288,3032.097,570.5695,7680.159,98.2569,7662.362,77.97437,10089.16,81.23411,15789.69,79.26218,2810.842,54.83614,1269.819,399.741,1183.659,192.6888,249.1097,625.2821,284.4757,932.4482,1144.254,931.1259,686.2114,785.8408,191.4539,312.5779,182.9568,220.9106
6971,2020-10-03 03:19:52Z,SO4_12_11,48,200.0278,424.8209,2226.888,12062.31,5448.81,13502.03,894.1078,2935.833,2885.668,557.9463,7559.641,96.72164,8306.418,79.81628,10710.23,82.38637,15810.6,77.06046,2955.277,55.32575,1220.31,389.6558,1287.995,187.8049,257.4691,621.9384,276.9895,901.6716,1118.05,917.1502,669.4199,844.0511,196.6636,284.5761,176.1445,228.6959
6972,2020-10-03 03:20:13Z,SO4_12_11,49,216.2205,449.5862,2396.367,12812.18,5547.574,16196.31,982.8361,3193.242,3040.513,595.8159,7847.502,102.8627,8154.768,96.3935,10453.27,87.57152,15828.22,77.06046,2945.484,56.79458,1409.179,396.0736,1239.601,197.5726,286.727,621.1024,294.4573,929.121,1161.724,929.3788,685.0919,825.0208,196.0124,294.3442,179.0641,234.535
6973,2020-10-03 03:20:37Z,SO4_12_11,50,200.9803,435.2986,2219.314,12860.47,5045.853,16411.62,945.7848,3236.144,3008.534,611.8053,7449.102,104.398,8553.849,94.55159,10555.83,92.18055,16066,79.26218,3042.427,61.69066,1382.59,396.9904,1255.141,194.4647,302.6098,651.1962,304.4389,935.7754,1177.446,989.6487,672.7782,828.3792,197.3148,291.0882,177.1177,237.4545
6974,2020-10-03 03:21:14Z,SO4_12_11,52,200.0278,417.2008,2244.878,12248.83,5332.269,16205.2,958.4603,3167.891,3035.463,603.3898,7731.59,105.1656,8742.338,100.0773,10804.71,92.18055,15784.18,78.16132,3197.633,63.6491,1367.004,365.818,1272.9,190.4688,311.8051,649.5243,302.7753,890.8582,1131.152,953.8362,634.7175,794.7962,198.6172,286.5297,178.0909,236.4813
6975,2020-10-03 03:22:05Z,SO4_12_11,52,195.2652,428.631,2207.005,12890.77,4975.73,16238.78,943.8347,3223.469,3000.118,614.33,7310.928,102.8627,8351.238,91.48174,10370.89,92.18055,16200.31,80.36305,3121.743,62.66988,1326.663,374.9864,1220.954,187.8049,301.7738,665.4072,300.2799,937.439,1171.332,950.3423,650.3896,770.1687,194.71,317.7875,176.1445,224.8032
6976,2020-10-03 03:22:31Z,SO4_12_11,53,207.6479,447.6812,2295.058,12807.45,5242.393,14031.4,918.4838,3087.938,3001.801,578.1434,7727.752,98.2569,8074.951,77.97437,10500.52,84.11475,16056.1,79.26218,2914.149,56.30497,1236.813,396.0736,1248.037,188.6929,254.9613,648.6884,283.6439,918.3076,1130.278,923.2645,682.8531,847.4095,194.71,295.6466,181.9836,234.535
6977,2020-10-03 03:22:45Z,SO4_12_11,54,195.2652,411.4857,2238.25,12060.42,5439.921,14256.58,898.008,2949.483,2937.844,565.5202,7752.316,98.2569,8488.154,82.27216,10980.43,84.69088,15584.93,79.26218,3078.658,57.28419,1204.724,388.7389,1285.776,186.917,261.6488,656.2119,276.9895,902.5034,1110.188,944.228,662.7033,791.4379,199.9196,321.6947,178.0909,217.0179
6978,2020-10-03 03:23:01Z,SO4_12_11,55,214.3155,456.2538,2415.303,13365.12,5686.831,16733.58,966.2605,3263.445,3127.192,615.1715,8052.46,107.4685,8830.136,93.93761,10783.97,88.14765,15646.58,78.16132,2856.376,55.81536,1339.499,400.6578,1318.186,202.0124,264.9926,602.7117,287.8029,925.7938,1163.471,977.4201,695.1668,840.6929,200.5708,293.693,181.0104,238.4277
6979,2020-10-03 03:23:18Z,SO4_12_11,56,216.2205,461.0164,2437.079,13077.29,5749.053,16737.54,993.5615,3321.947,3154.122,620.2208,8172.211,105.9332,8766.283,100.6913,10904.96,92.18055,15845.83,78.16132,3025.291,60.22184,1403.678,388.7389,1308.419,203.7883,288.3988,625.2821,297.7845,916.644,1166.091,948.5953,678.3754,876.5146,203.1756,313.2291,181.9836,257.8912
6980,2020-10-03 03:23:33Z,SO4_12_11,57,225.7456,453.3963,2372.697,12808.39,5549.549,14446.21,931.1592,3028.461,2895.766,552.0554,7615.678,94.41875,7925.756,76.74642,10100.11,75.47282,14055.83,68.25355,2544.495,47.98163,1321.162,340.1466,1277.34,188.2489,228.2112,562.5867,245.3811,865.0723,975.6731,895.3133,670.5393,829.4985,196.0124,284.5761,171.2787,223.8301
